Challenge Question Data;Christina;Kerrie;Revised Coding/Christina ;Final Codes;;;;;;;
school;schooling ;schooling;;schooling;;;;;;;
"Not being able to see friends and family.  Not being able to use park equipment. 
Not being able to go to my son's speech therapy,  occupational therapy and physical therapy, and music therapy.  We miss 10 sessions a week that's huge and i am worried about his lack of progression.";"isolation/confinement; access to services; child well-being or child development?";"isolation/confinement; family separations; access to services; child well-being";;"isolation; confinement; family separations; access to services; child wellbeing";;;;;;;
Not knowing what to tell my child. Why can’t he see his friends why can’t he finish his big year of kindergarten. Why life may never be the same.;explaining covid to kids;explaining covid to kids;;explaining covid to kids;;;;;;;
Trying to work 8 hours a day from home and still teach my children virtually, feed them, keep them busy, take calls for work, make food, getting food, staying healthy.;"juggling multiple roles; keeping kids/family busy";"juggling multiple roles; keepign child/family busy";;"juggling multiple roles; keeping child family busy";;;;;;;
Keeping kids occupied and excerciae when in a small apartment and cant get out to parks or outside with 5 kids and some are quite young who cant go outsode who are considered high risk health conditions.;"keeping kids/family busy; covid worries ";"keeping child family busy; covid worries";;"keeping child family busy; covid worries";;;;;;;
Not being able to build motor skills on parks, go on kid dates to restaurants, or spend time grocery shopping together.;"child development? ;isolation/confinement ";isolation/confinement;;"child wellbeing; confinement";;;;;;;
"excessive screentime; child socialization; keeping kids/family busy";"excessive screentime; child socialization";"isolation/confinement; keeping kids/family busy; excessive screentime";;"excessive screentime; child socialization; keeping child family busy";;;;;;;
Online studies and making kids sit at one place for a longer duration to study;schooling ;schooling;;schooling;;;;;;;
Food resources  On-line learning Discipline  Keeping the kids in isolation;"schooling; child behavior; access to resources; isolation/confinement";"resource access; schooling; kids behavior; isolation/confinement";;"schooling; child behavior; access to services; isolation";;;;;;;
Not being able to let them play outside;isolation/confinment ;isolation/confinement;;confinement;;;;;;;
Sleep and having energy;parent well-being ;parent well-being;;parent wellbeing;;;;;;;
Sometimes not being  able  to go out and do things as a family since stuff is closed.;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Having stuff to do;"keeping kids/family busy; work expextation??????";keeping kids/family busy;;keeping child family busy;;;;;;;
Feeling like I'm providing enough experiences for my young girls socially, emotionally, and intellectually, as we are often stuck in the house and get stuck in a routine of many of the same activities;"keeping kids/family busy; isolation/confinement ";"keeping kids/family busy; routine changes; isolation/confinement";;"keeping child family busy; confinement; routine changes";;;;;;;
My most challenging part is trying to be a stay at home mom, work at home mom, and a homeschool teacher.;juggling multiple roles ;juggling multiple roles;;juggline multiple roles;;;;;;;
working full time and trying to do the schooling of 2 kids. I feel like my kids have become resentful  toward me for pushing them to do schoolwork. My kids  arguing more then normal;"balancing work and schooling; kids behavior; sbling conflict ";"balancing work and schooling; kids behavior; kids well-being";;"balancing work and schooling; kids behavior; sibling conflict";;;;;;;
Trying to work from home with two tiny toddlers.;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Isolation is the toughest.  My kids (all boys) love to play with friends and go to the park and be social.  It's been hard having to stay home and distance from friends.  It's also hard doing distance learning with my oldest and trying to keep the other 3 occuppied to complete his lessons.;"isolation/confinment; schooling ";"isolation/confinement; schooling";;"isolation; schooling";;;;;;;
Having something for my child to do all the time.;keeping kids/family busy;keeping kids/fmaily busy;;keeping child family busy;;;;;;;
Finding new things to do with the kids at home or around the neighborhood. Playgrounds being closed.;"keeping kids/family busy; isolation/confinement ";"keeping kids/family busy; isolation/confinement";;"keeping child family busy; confinement";;;;;;;
Not allowing the kids to see their friends or other family members in person.;isolation/confinement;isolation/confinement;;isolation;;;;;;;
Being in each other's space all the time, having to juggle both working and parenting at the same times;"no alone time; balancing work and parenting ";"no alone time; balancing work and parenting";;"no alone time; balancing work and parenting";;;;;;;
Having to school 2 kids;schooling ;schooling;;schooling;;;;;;;
Keeping children entertained while also working remotely;"keeping kids/family busy; balancing work and parenting ";"keeping chidl family busy; balancing work and parenting";;"keeping child family busy; balancing work and parenting";;;;;;;
Balancing work and school;balancing work and schooling ;balancing work and schooling;;balancing work and schooling;;;;;;;
Managing health care needs of my youngest with generally caring for my kids alone while my husband works.;acess to support;access to support;;access to supports;;;;;;;
Trying to work and give them attention;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Kids are so sad that they are not seeing their friends. I hate seeing them so isolated.;isolation/confinement;isolation/confinement;;isolation;;;;;;;
not knowing how long this will last;uncertainty;uncertainty;;uncertainty;;;;;;;
"Parenting is always ""on"" so there is no break!";"no alone time; parenting exhaustion";"parenting exhaustion; no alone time";;"parenting exhaustion; no alone time";;;;;;;
Being laid off work, less income;financial concerns ;financial concerns;;financial and resource concerns;;;;;;;
Work-family balance. I work from home and teach school. I am always worried I cannot do either one well.;"balancing work and schooling; parenting guilt ";"balancing work and schooling; parental guilt?";;"balancing work and schooling; parental guilt";;;;;;;
patience and juggling everyo es schedule between home, home schooling and work.;"juggling multiple roles;";"juggling multiple roles; conflicting parental values and actions";;"juggling multiple roles; conflicting parental values and actions";;;;;;;
Not bring able to go out with a friend for dinner for Mommy time. Not enough fresh air.;"isolation/confinment; no aline time ";"isolation/confinement; no alone time";;"isolation; no alone time";;;;;;;
Schooling and no organized activities;schooling;"schooling; isolationconfinement";;"schooling; confinement";;;;;;;
"Lack of a break/always ""on""";"no alone time; parenting exhaustion";"no alone time; parenting exhaustion";;"no alone time; parenting exhaustion";;;;;;;
Not enough alone time to process everything.;no alone time ;"no alone time; parent well-being";;"no alone time; parent well being";;;;;;;
Not having my kids take part in their important therapies for their health and well being.;"access to support; child well-being ";"access to supports; child well-being";;"access to supports; child wellbeing";;;;;;;
No breaks for me to relax or get away.;no alone time ;no alone time;;no alone time;;;;;;;
Carint for my children full time and teaching full time;balancing work and parenting;balancing work and parenting? OR balancing parenting and schooling?;;balancing work and parenting;;;;;;;
Nothing really;nothins ;nothing!;;nothing;;;;;;;
Social distancing;iolation/confinment ;isolation/confinement;;confinement;;;;;;;
Working and teaching...finding the time and focus. Also, no personal time.;"balancing work and schooling; no alone time ";"blancing work and schooling; no alone time";;"balancing work and schooling; no alone time";;;;;;;
Not getting any breaks;no alone time ;no alone time;;no alone time;;;;;;;
Distance learning. I’m not a teacher but yet the school expects me to be able to teach my kids.lots of pressure from school to get assignments done when I’m way more concerned about my 6 year old writing letters about wanting to be dead.;"schooling; child well-being ";"schooling; child well-being";;"schooling; child wellbeing";;;;;;;
So many things. Navigating it all at the same time. And navigating it for ourselves alongside our children. All being stripped of life together but expected to move on with life.;"juggling multiple roles; parent well-being; child well-being; uncertainty";"juggling multiple roles; parent well-being; child well-being; routine changes? uncertainty?";;"juggling multiple roles; parent wellbeing; child wellbeing; uncertainty";;;;;;;
Not having childcare and still having to work. Not being able to see close family and friends in person.;"childcare/school closure; family separation; isolation/confinement ";"childcare/school closures; family spearations; isolation/confinement";;"childcare school closures; family separations; isolation";;;;;;;
Keeping them entertained- that we are not boring people stuck at home. And telling my children no that they cannot see their friends or just stop in any store.;keeping kids/family busy ;keeping child/family busy;;keeping kids family busy;;;;;;;
Not being able to get out of the house and do activities.;isoaltion/confinement ;isolation/confinement;;confienemnt;;;;;;;
N/a;nothing ;nothing!;;nothing;;;;;;;
Being unable to explain to their satisfaction why our routine has changed without scaring them;explaining covid to kids ;explaining covid to kids;;explaining covid to kids;;;;;;;
Not having a break or easy way to keep the kids occupied;"no alone time; keeping kids/family busy ";"no aone time; keeping kids/family busy";;"no alone time; keeping kids family busy";;;;;;;
The most challenging part is to balance my work, which is supposed to be a full-time job, with the child care, which is another 12-hour job. I feel extremely guilty having my kid do screen time. I feel bad looking at social media where moms who doesn't have jobs can do enriching activities with the kids all day. Meanwhile, I feel bad not being able to work hard, which ultimately provides a secure financial future for my kid...I sometimes wish I can be a working machine and sleep less.;"juggling multiple roles; parenting guilt; excessive screentime; parent well-being; financial concerns";"balancing work and parenting; parental guilt; excessive screen time; parent well-being; financial concerns?";;"balancing work and parenting; parental guilt; excessive screentime; parental wellbeing; financial and resource concerns";;;;;;;
Limited outlets for educational and physical space that don't involve a screen of some sort.;"ioslation/confinement; excessive screentime ";"isolation/confinement; excessive screentime";;"confinement; excessive screentime";;;;;;;
My chronic pain is worse due to caring for the kids.  Also they miss socializing with friends and it is hard to tell them they can't.  Also spouse can occasionally be the parenting police and question my parenting without offering to help more.;"parent well-being; child socialization; isolation/confinement; marital conflict ";"parent well-being; isolation/confinement; martial/coparenting conflict";;"parent wellbeing; child socialization; couple conflict; isolation";;;;;;;
Keeping kids on task  Financial strain;"financial concerns; keeping kids/family busy";"keeping child/family busy; financial concerns";;"keeping child family busy; financial and resource concerns";;;;;;;
Staying away from friends and family;isolation/confinement ;isolation/confinement;;isolation;;;;;;;
school. that is about it, getting school done;schooling ;schooling;;schooling;;;;;;;
Not having Wi-Fi and trying to do online homework with my son, not knowing how we are going to pay the bills for the month, trying to not have anxiety attacks that make me feel like I'm dying;"schooling; financial concerns; parent well-being ";"schooling; financial concerns; parent well-being";;"schooling; financial and resource concerns; parent well-being";;;;;;;
child interruptions during work-related meetings or projects, child not getting social interaction with peers;"balancing work and parenting; child socialization ";"balancing work and parenting; child socialization";;"balancing work and parenting; child socialization";;;;;;;
Having a spouse at risk everyday and bringing something home;covid concerns ;covid concerns;;covid concerns;;;;;;;
Distance Learning while also trying to keep working on my own stuff! The crushing anxiety that the world is never going to be the same and that my kids lives are going to be way different because of it.All the things my kids are missing out on that were planned for this year. None of those missing things are more important then the health and safety of our community so I get why they are canceled but it is still a loss that we are all mourning.;"schooling; balancing work and schooling; uncertainty; missed experiences; parent well-being";"balancing work and schooling; uncertainty; parent well-being; missed activities?; child well-being";;"schooling; balancing work and schooling; uncertainty; parent wellbeing; missed activities; child wellbeing";;;;;;;
Stuck in the house all the time;isolation/confinment ;isolaton/confinement;;confinement;;;;;;;
Meeting their need and work at the same time;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Home schooling;schooling ;schooling;;schooling;;;;;;;
Activities;"isolation/confinement?; keeping kids/family busy?";isolation/confinement?;;routine changes;;;;;;;
Balancing work and virtual learning;balancing work and schooling ;blaancing work and schooling;;balancing work and schooling;;;;;;;
I work at an office full time while my husband works from home.  He worked at home before the pandemic.  He is now responsible to oversee the distance learning which requires time and hands on with our younger child.  This creates stress among all of us.;marital/coparenting conflict ;"general family conflict; martial/coparenting conflict";;"family conflict; couple conflict";;;;;;;
No breaks.;no alone time ;no alone time;;no alone time;;;;;;;
Managing two home schooling agendas daily and fulfilling own work responsibilities;balancing work and schooling ;balancign work and schooling;;balancing work and schooling;;;;;;;
Timing and schedules while working out of the home;balancing work and schooling ;balancing work and parenting;;balancing work and parenting;;;;;;;
Ensuring im safe from covid virus when I come home from work wondering if the day will come if I need to isolate myself from my family as I work in a hospital.;covid worries ;covid concerns;;covid worries;;;;;;;
My sons are fighting with each other a lot more. I am struggling to find ways to help them each get their own space since we are in a one bedroom apartment.;"sibling conflict; isolation/confinement ";"sibling conflict; isolation/confinement";;"sibling conflict; confinement";;;;;;;
being around eachother so much is hard to maintain and get used too, being a teacher.;"isolation/confinement; schooling ";"isolation/confinement; schooling";;"confinement; schooling";;;;;;;
Trying to motivate my children to use distance learning;schooling ;schooling;;schooling;;;;;;;
finding balance;juggling multiple roles ;juggling multiple roles;;juggling multiple roles;;;;;;;
I guess the most difficult time is the loss of the school schedule;"childcare/school closure; routine changes";"childcare/school closure; routine changes";;"childcare school closures; routine changes";;;;;;;
Online school work, sticking to a schedule;"schooling; routine changes ";"schooling; routine changes";;"schooling; routine changes";;;;;;;
Keeping them entertained.;keeping kids/family busy ;keeping child/family busy;;keeping child family busy;;;;;;;
home schooling and working full time from home.  No support from teacher.  Annoys me that I'm doing 2 jobs and getting paid for one while the teachers aren't doing anything and still getting paid.;balancing work and schooling ;balancing work and schooling;;balancing work and schooling;;;;;;;
My husband and I being our children’s only playmates and teachers.;isolation/confinement ;isolation/confinement;;"confinement; isolation";;;;;;;
Definitely being short tempered (myself and sometimes the kids), not knowing how to help with school related items.  Getting burned out from cooking everyone's meals.;"schooling; parental exahustion; conflicting parental values and actions; parental exhausiton";"schooling; conflicting parental values and actions; parental exhaustion?";;"schooling; parental exhaustion; conflicting parent values and actions; parental exhaustion";;;;;;;
The cabin fever and feeling alone.;isolation/confinement ;isolation/confinement;;"confinement; isolation";;;;;;;
It is very difficult to manage homeschooling and working full time, at the same time.;balancing work and schooling ;balancing work and schooling;;balancing work and schooling;;;;;;;
Not having any brake or change of pace.;"no alone time; isolation/confinement ";"no alone time; isolation/confinement";;"no alone time; confinement";;;;;;;
Working and homeschooling;balancing work and schooling ;balancing work and schooling;;balancing work and schooling;;;;;;;
Homeschooling.;schooling ;schooling;;schooling;;;;;;;
Not being able to see family;family separation ;family separations;;family separation;;;;;;;
;;;;;;;;;;;
Kids not being able to see their friends.;isolation/confinement ;isolation/confinement;;isolation;;;;;;;
Not enough fresh air and exercise. A lot of time spent trying to understand the science and the politics of this pandemic;"isolation/confinement; uncertainty";"isolation/confinement; uncertainty?";;"confienment; uncertainty";;;;;;;
Balancing time to work and parent, without working at the wee hours and impacting my sleep quality.;"balancing work and parenting; parenting well-being ";"balancing work and parenting; parent well-being";;"balancing work and parenting; parent wellbeing";;;;;;;
Staying home it is hard because we would like to go do stuff out side of our yard;isolation/confinement ;isolation/confinement;;confinement;;;;;;;
Trying to do school work. My son get frustrated because I'm mom not his teacher.;schooling;"schooling; parent-child tension";;"schooling; parent-child tension";;;;;;;
Time alone, mainly for spouse;no alone time;no alone time;;no alone time;;;;;;;
Home schooling.;schooling ;schooling;;schooling;;;;;;;
Nothing has changed for our family;nothing ;nothing!;;nothing;;;;;;;
Understanding the virtual learning;schooling ;schooling;;schooling;;;;;;;
Staying calm and not overreacting;"parent well-being; covid worries ";parent well-being?;;"parent wellbeing; covid worries";;;;;;;
Having to explain COVID 19 and pandemic to a 5 year old. Helping him understand why life routine had to change i.e. no more play dates, park, or grocery shopping.;explaining covid to kids ;explaining covid to kids;;explaining covid to kids;;;;;;;
Helps his development and work;balancing work and parenting;balancing work and parenting?;;balancing work and parenting;;;;;;;
Limited time to do deep focus work.;no alone time ;no alone time?;;no alone time;;;;;;;
;;;;;;;;;;;
The absence of one normal routine and seeing loved ones.;"routine changes; family separation ";"routine changes; family separations";;"routine changes; fmaily separation";;;;;;;
virtual school;schooling ;schooling;;schooling;;;;;;;
Time management;juggling multiple roles ;juggline multiple roles;;juggling multiple roles;;;;;;;
Not having access to the library as we have a great one and use it often.;isolation/confinement ;"isolation/confinement; access to supports";;"access to supports; confinement";;;;;;;
Worrying as a single parent, how I would keep my kids healthy if I got sick!;"covid worries; access to support";access to supports? covid worries;;"covid worries; access to supports";;;;;;;
when they want to do something and that particular thing is out of reach, ie. Park, zoo, museum;isolation/confinement ;isolation/confinement;;confinement;;;;;;;
Virtual learning and not getting a break from the kids.;"schooling; no alone time ";"schooling; no alone time";;"schooling; no alone time";;;;;;;
Dealing with a child with autism having no therapies or school.;access to support/services ;access to supports;;access to supports;;;;;;;
It has been particularly challenging for me to juggle work demands while still trying to remain attentive to my kids. Although they are busy with online instruction, this only lasts for a few hours each day. I've been struggling to develop educational activities and try to keep them motivated and engaged. I worry that they are spending too much time on screens- including for educational purposes.;"balancing work and aprenting; keeping kids/family busy; excessive screentime";"balancing work and parenting; keeping child/family busy; excessive screen time";;"balancing work and parenting; keeping kids family busy; excessive screentime";;;;;;;
Balancing time and work at home.;balaincing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
Being a passionate and understanding parent for my son.;conflicting parental values and actions ;conflicting parental values and actions;;conflicting parental values and actions;;;;;;;
Both my partner and I working full-time from home while trying to help two kindergarteners and a 4th header elearn. They are frustrated that we are “always talking to our computers”. We use to try really hard to not be on computers from after school to bedtime so it is especially strange for them. Plus we both feel so much more exhausted so way less present when they are needing more connection.;"balancing work and parenting; escessive screentime or screentime control; parental exhaustion";"balancing work and schooling; general family conflict; parental exhaustion";;"balancing work and parenting; excessive screentime; parental exhaustion; family conflict";;;;;;;
Coming up with new and creative ways to engage my child. Not being able to take him to places we typically go on weekends. Having to explain what is going on in a way that makes sense to a young child without being scary.;"keeping kids/family busy; ioslation/confinement; explaining covid to kids";"keeping child/family busy; isolation/confinement; explainign covid to kids";;"keeping kids family busy; explaining covid to kids; confinement";;;;;;;
Not being able to let him play with friends;isolation/confinement ;isolation/confinement;;isolation;;;;;;;
Keeping them busy;keepeing kids/family busy ;keeping child/family busy;;keeping child fmaily busy;;;;;;;
Only child... wish he had someone to play with. A lot of pressure on my husband and I.;"isolation/confinment; parental exhaustion";"isolation/cfonfinement; parental exhaustion?";;"isolation; parental exhaustion";;;;;;;
It is difficult to be at home 24/7 with no outlets except taking walks/playing outside. We have established times when we know that we need to take a quiet break to our respective rooms.;isolation/confinment ;isolation/confinement;;confinement;;;;;;;
"My son has autism and misses school, libraries, parks, etc. He thrives on ""outings."" He is also missinghis on-person therapies.

Very stressful and exhausting trying to parent, home-school and work full time from home. Every minute is taken. Zero time to recoup.";"isolation/confinement; access to services; parental exhaustion; balancing work and schooling; no alone time ";"access to services; isolation/confinement; parental exhaustion; juggling multiple roles; no alone time";;"access to services; confinement; parental exhaustion; juggling multiple roles; no alone time";;;;;;;
Not taking child out to socialize with others and experience the world.;"child socialization?; isolation/confinement ";isolation/confinement;;"isolation; child socialization";;;;;;;
100%time together;no alone time ;no alone time;;no alone time;;;;;;;
Trying to spare the kids from sinking into a depression because they don't get to play outside or with their friends while also trying to be productive at work and maintaining the home.;"child well-being; isolation/confinement; balancing work and parenting ";"child well-being; isolation/confinement; balacning wokr and parenting";;"child wellbeing; isolation; balancing work and parenting";;;;;;;
Telling them it will be okay when I don't know for sure if it will...health wise or financially.  At first I was more concerned about the health aspect, but then I was laid off permanently.   My company may have me back eventually but I was looking for a change anyway, and am hoping this helps propel me forward for change.  But change is scary. And with a special needs child (son on autism spectrum) it is a very scary thing to be worried about having good health insurance etc.;"uncertainty; financial concerns; covid worries ";"uncertainty; financial concerns; covid worries";;"uncertainty; financial and resource concerns; covid worries";;;;;;;
The inability to take a break. You can’t get a babysitter and have some quality time with your spouse.;"no alone time; no time for couple relationship; childcare/school closure  ";"no alone time; childcare/school closures? - i know babysitting is a bit different";;"no alone time; chldcare school closures; couple conflict";;;;;;;
Having a special needs child who has a change of routine and not being able to go anywhere to keep busy;"routine changes; isolation/confinement; keeping kids/family busy";"routine changes; isolation/confinement; keeping child/family busy";;"routine changes; confinement; keeping child family busy";;;;;;;
Being cope up in the house;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Not being able to get help from others outside of my home.;access to support/services ;access to services;;access to services;;;;;;;
no being able to go outside as much as usual;isolation/confinement;isolation/confinement;;confinement;;;;;;;
Teaching a six year old who loves school and working and caring/teaching a 3 year old.;juggling multiple roles ;Jugglien multple roles;;juggling multiple romes;;;;;;;
No break, long days;no alone time ;no alone time;;no alone time;;;;;;;
Trying to work at home and not being able to do normal activities (gymnastics, ballet, museums). We went out several times a week before as a family and now we are stuck.;"balancing work and parenting; isolation/confinement ";"balancing work and parenting; isolation/cofninement";;"balancing work and parenting; confienment";;;;;;;
Being with my kids 24/7 without any real alone time.;no alone time ;no alone time;;no alone time;;;;;;;
nothing;noting ;nothing!;;nothing;;;;;;;
Not getting a break. As a single parent, it is extremely exhausting to have no separation from my daughter. I don't feel that I can relax or do much in the way of self-care.;"no lone time; parenting exhastion ";"no alone time; parenting exhaustion";;"no alone time; parenting exhaustion";;;;;;;
Finding things for my boys to do while I do my own college schoolwork.;"keeping kids/family busy; balancing work and parenting ";"keeping child/family busy; balancing ""work"" and parenting";;"keeping child family busy; balancing work and parenting";;;;;;;
Balancing between school work and quality time while being in quarantine.;balancing work and parenting ;juggling multiple roles;;"juggling multple roles; balancing work and parenting";;;;;;;
The most challenging thing with having a newborn has been not being able to have friends and families members over to even meet our child nor having the ability to rely on their help given we were forced to isolate from nearly everyone. Further, neither myself or my spouse received any kind of parental leave from our jobs and had to instead rely on using up personal and sick leave. Both suddenly being tasked to work from home and also meet the demands of being new parents has prove the most difficult.;"isolation/confinement; family separation; access to supports; balancing work and parenting ";"isolation/confinemnet; family separations; access to supports; balancing work and parenting";;"isolation; family separation; access to supports; balancing work and parenting";;;;;;;
Change of routine  Having to become an algebra teacher;"routine changes; schooling ";"routine changes; schooling";;"routine changes; schooling";;;;;;;
Being patient;conflicting parental values and actions ;conflicting parental values and actions;;conflicting parental values and actions;;;;;;;
Creating me-time and recharge;no alone time ;no alone time;;no alone time;;;;;;;
Meeting all the requirements provided from the school.;schooling ;schooling;;schooling;;;;;;;
Trying to juggle working from home, virtual meetings and keeping the kids busy at the same time.;"balancing work and parenting; keeping kids/family busy ";"balancing working and parenting; keeping child/family busy";;"balancing work and parenting; keeping child family busy";;;;;;;
"For my 12 year old it has been making sure he is on top of his school-work.  This is a task that takes a lot of time and if I am not diligent about it daily, it can take me hours to catch up on making sure he is current.  It has also been challenging to me to keep this role as more of a moderator vs a teacher.  I am a substitute teacher but my child does not like me ""teaching"" him.  My other child is 20 with an ID label as well as SPD.  Balancing being available to her along with helping my son and still trying to get work done for my job has proven to be extremely challenging and I have not found the balance yet.";"schooling; balancing parenting and schooling; balancing work and parenting";"schooling; balancing parenting and schooling; balancing work and parenting; child well-being?";;"schooling; balancing parenting and schooling; balancing work and schooling; child wellbeing";;;;;;;
Everyone is getting lazy, me included! Trying to balance online school and motivation Trying to keep up with bandwidth for 6 people using online systems Getting exercise and skills practice for serious student athletes Doing physical, speech and therapy services at home instead of with the professionals Lonesomeness  Boredom Too much screen time, but what in the heck else can they do??;"juggling multiple roles; keeping kids/family busy; access to services; excessive screentime";"Keeping child/family busy; juggling multiple roles; schooling; access to services; isolation/confinement; excessive screentime";;"keeping child family busy; juggling multiple roles; accessing services; excessive screentime";;;;;;;
Trying to work from home while being a single parent taking care of a baby at the same time.;balancing work and parenting ;balancing working and parenting;;balancing work and parenting;;;;;;;
"My mother lives with us to watch my child in lieu of the daycare. She is older and so she doesn't watch her 100% of the time; I take breaks from work (and so does my husband) to chip in. It is stressful having all of us home. Incorporating my mom's views on parenting into my own has been sometimes great and sometimes very annoying. The most challenging thing is that--too many people together all the time, trying to parent together, with different opinions. The next-most challenging is the fact that my daughter is, I think, starting to see us as her ""entertainers"" -- I want her to have more structure and more discipline, but I don't know how to provide it while I am working, and it seems unfair to ask my mom to be the ""bad guy."" Oh, and: The moments when my daughter runs up to me while I am working, smiling and hopeful that I will be able to spend time with her, saying ""Mama!"", and then I have to shoo her away because I am working and staring at a video call. It's heartbreaking -- like doing those occasionally sad daycare drop-offs, except 10 times a day.";"routine changes; family conflict; coparenting conflict; conflicting parenting values and action; balancing work and parenting ";"routine changes; daycare/school closing; family tension; coparenting tension/conflict; conflicting parental values and actions; balancing working and parenting";;"routine changes; childcare school closings; family tension; couple conflict; conflicting parental values and actions; balancign work and parenting";;;;;;;
Holding back my anger on issues that are going on.;parent well-being ;parent well-being;;parent well being;;;;;;;
Home schooling.;schooling ;schooling;;schooling;;;;;;;
Not being able to have experiences outside our  home and basically losing my job and not receiving unemployment.;"isolation/confinement; financial concernes; employment changes ";"isolation/confinement; financial concerns; employment changes";;"confinement; employment changes";;;;;;;
;;;;;;;;;;;
School work and my work are difficult together;balancing work and parenting ;balancing working an dteaching;;balancing work and parenting;;;;;;;
Uncertainty.;uncertainty ;uncertainty;;uncertainty;;;;;;;
Keeping the kids off video games Teaching school work;"excessive screentime; schooling ";"excessive screentime; schooling";;"excessive screentime; schooling";;;;;;;
Getting the stuff we need . being on food stampa u have to wait to get them then ahop for food;access to resourced ;resource access;;access to services;;;;;;;
Not being able to do what u want;isolation/confinement?;isolation/confinement;;confinement;;;;;;;
Parenting, homeschooling and not getting the needed therapies for my child.;"balancing parenting and schooling; access to resources ";"balancing parenting and schooling; access to resources";;"balancing parenting and schooling; access to services";;;;;;;
The closure of schools and the difficulty of getting child care during a pandemic.;school/childcare closure ;schoo/childcare closures;;childcare school closures;;;;;;;
Home school;schooling ;schooling;;schooling;;;;;;;
Not feeling like the education materials given are sufficient. Parenting during an “optional” education period makes it difficult;"schooling; balancing parenting and schooling ";"schooling; balancing parenting and schooling?";;"schooling; balancing parenting and schooling";;;;;;;
I’m a single parent, and I struggle with “entertaining” my only child (without screens) while trying to work, cook, clean, etc. My child has step-siblings at her dad’s house, and sometimes she prefers to be there so she’s not bored or lonely. I totally get her feelings, but it makes me a little sad that she’d sometimes rather be at her dad’s house.;"keeping kids/family busy; excessive screentime; juggling multiple roles; parent well-being; family tension";"juggling multiple roles; parent's well-being; keeping child/family busy; excessive screentime; family tension";;"juglging multiple roles; keeping kids fmaily busy; parent wellbeing; family tension; excessive screentime";;;;;;;
Having to work, parent and teach at the same time.;juggling multiple roles;juggling multiple roles;;juggline multiple roles;;;;;;;
Getting information as to how we should be parenting, both when it comes to supervising schoolwork, helping with schoolwork, as well as keeping busy and not getting too lazy.;"juggling multiple roles; keeping kids/family busy; access to supports ";"balancing parenting and teaching; access to supports; keeping child/family busy";;"balancing parenting and schooling; access to services; keeping child family busy";;;;;;;
Keeping kids engaged and busy;"keeping kids/family busy; excessive screentime; juggling multiple roles; parent well-being ";keeping child/family busy;;keeping child family busy;;;;;;;
;;;;;;;;;;;
Not being able to be home with them;family separation ;family separations;;family separations;;;;;;;
A lot of time with one another in a small home when the weather doesn't cooperate.  And balancing work and school work all day, when the weather is beautiful.;"no alone time; balancing work and parenting";"no along time; balancing work and teaching";;"no alone time; balancing work and schooling";;;;;;;
Balancing working full time from home and having a child around that needs care and attention.;balancing work and parenting ;balancing work and parenting;;balancing work and parenting;;;;;;;
"Trying to juggle of working from home, virtual learning, and lonely kids who miss their friends & school.

Supporting special needs kid who has trouble reading with his online learning programs.";"juggling multiple roles; schooling?; access to services; child socialization";"juggling multiple roles; child well-being/socialization; accessing services";;"juggling multiple roles; child wellbeing; child socialization; access to services";;;;;;;
trying to work remotely while parenting and remote learning all at the same time, day in and day out.;juggling multiple roles;"juggling multiple roles; parenting exhaustion";;"juggling multple roles; parenting exhaustion";;;;;;;
Scheduling between extra work requirements and lack of school and babysitters;"school/childcare closure; balancing work and parenting; routine changes ";"juggling multiple roles; routine changes; school/childcare closure";;"juggling multiple roles; routine changes; school childcare closures";;;;;;;
;;;;;;;;;;;
Social distancing for kids has kept them away from their friends;"isolation/confinement; child socialication ";child socialization;;"isolation; child socialization";;;;;;;
Major increase of childcare & schooling while a major decrease in any help;school/childcare closure;"juggling multiple roles; school/childcare closures";;"juggline multiple roles; school childcare closures";;;;;;;
Balance under one roof;isolation/confinement ;isolation/confinement ;;confinement;;;;;;;
Trying to juggle working from home and having children at home too.;balancing work and parenting ;balancing working and parenting;;balancing working and parenting;;;;;;;
Trying to explain all this to a 4 year old. Shes big enough to know something's going on, but not big enough to really understand.;explaining covid to kids ;explaining covid to kids;;explaining covid to kids;;;;;;;
Practicing patience and upholding consistency;conflicting parental values and actions ;conflicting parental values and actions;;conflicting parental values and actions;;;;;;;
That my child cant be in school with his peers and get the IEP services he needs.;"child socialization; access to services ";"child socialization; access to services";;"child socialization; access to services";;;;;;;
My son is having a hard time regulating his emotions.;"child well-being; child behavior ";child well-being/kids behavior?;;"child welbeing; child behavior";;;;;;;
Being a teacher;schooling ;schooling;;schooling;;;;;;;
Balancing work their school work and animals;"juggling multiple roles; animals???";juggling multiple roles?;;juggling multiple roles;;;;;;;
Not knowing when it will end, when school/camp will resume;uncertainty;uncertainty;;uncertainty;;;;;;;
Parenting an infant without the help of family. No breaks :(;"no alone time; parenting exhaustion; access to supports";"no alone time; parenting exhaustion; access to supports";;"no alone time; parenting exhaustion; access to services";;;;;;;
Being around them all the time;no alone time;no alone time;;no alone time;;;;;;;
